,TC,thr,M,delM,Tplot,Fi,Fi uncertainty,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
17,89.97,90,35440276.0,1110017.968,27.53910552985239,0.1598940238903871,0.00021271639755346647,3.932799435831781e-08,1.2650895822827761e-09,-17.051329247014845,-17.084025657022888,-17.019668131139927
18,90.0,120,47497482.24,579071.5608,27.53683051080821,0.16901458002388742,0.00011236809672239258,4.185194921204537e-08,5.640076036517842e-10,-16.98912746494155,-17.002695350352255,-16.975741205513774
19,99.98,30,27964422.48,378874.35,26.80031088360625,0.17438413907732986,7.373542102140795e-05,1.0360317922068547e-07,1.5302674566149546e-09,-16.082697820133525,-16.097578457808762,-16.068035372988824
20,99.99,60,48516392.39,582033.2243,26.79959264619178,0.1837012324287219,0.00011234084092994219,9.437196625648438e-08,1.244766574547472e-09,-16.17602177552056,-16.189299539780023,-16.16291800259165
21,119.96,30,99764335.54,1153717.406,25.438172521686045,0.20285970944170684,0.00021943948154001588,4.2478929383048156e-07,5.413758905207963e-09,-14.671672570183544,-14.684499053691566,-14.659008524053139
22,119.98,60,177493277.3,1996456.04,25.436878386284434,0.23694318738626496,0.0003765514065669029,4.4146928525780104e-07,5.522488407435029e-09,-14.63315738838744,-14.645745626615657,-14.620725645935664
23,119.99,90,223074469.0,2492366.884,25.436231367960524,0.2797802407173327,0.0004630595018499235,4.5214377116136935e-07,5.4929529962748664e-09,-14.609265629899555,-14.621488715018993,-14.597190146259985
24,119.99,120,244437424.2,2716804.801,25.436231367960524,0.32672032332579476,0.0005055742215116297,4.5787703789574795e-07,5.489559607272182e-09,-14.596665165088574,-14.608726771494936,-14.584747308894803
25,139.98,30,189689518.4,2121033.37,24.205455909762062,0.36314602672523416,0.0004023090120857991,1.6952806077403917e-06,2.0329230838395703e-08,-13.287662280544481,-13.299726421823811,-13.27574194954583
26,139.99,60,303318983.7,3405237.9,24.204870019847995,0.4213877920444639,0.0006313290520959514,1.63510934584207e-06,1.92640314372475e-08,-13.323800877660435,-13.33565232373109,-13.312088244831825
27,139.99,90,332729244.1,3669597.97,24.204870019847995,0.4852745555928769,0.0006702234922964454,1.5006084166346055e-06,1.683755560329575e-08,-13.409639921004313,-13.4209238314541,-13.398481917784686
28,140.0,120,308537729.5,3409416.283,24.20428415829602,0.544525606469792,0.0006260976506865487,1.3001173506217394e-06,1.44144596371544e-08,-13.553056027861818,-13.564204992290186,-13.542029993556998
29,159.96,30,194863740.0,2179190.351,23.08882270093048,0.5819412624301881,0.0004089314750827154,3.893273601188875e-06,4.410472489055085e-08,-12.456260211510386,-12.46765330925537,-12.44499545560314
30,159.98,60,284185294.8,3145190.12,23.087756562694803,0.6365114524104836,0.0005789872636803141,3.351714104570697e-06,3.619506680127809e-08,-12.606038669981118,-12.616896374103177,-12.595297590455917
31,159.99,90,276004670.5,3047896.823,23.087223530498225,0.689510376884899,0.0005674242705145989,2.6518054107301086e-06,2.8387164648300738e-08,-12.840269862868858,-12.85103241646193,-12.82962190953858
32,159.99,120,223683002.7,2489188.141,23.087223530498225,0.7324649527891419,0.00047032984912703774,1.9497694963184436e-06,2.1049833183465377e-08,-13.1477993993918,-13.158654162162678,-13.13706119837772
33,179.95,30,112907123.7,1270946.098,22.070183182520417,0.7541469817272244,0.0002440877792183905,4.51681755062264e-06,5.081624219859386e-08,-12.30770289382273,-12.319017111571867,-12.296515256770501
34,179.97,60,151412589.6,1698927.031,22.06920903954802,0.7832246878461799,0.0003223419204347576,3.408597032001972e-06,3.722500962738084e-08,-12.589209778893796,-12.600190768153178,-12.578348063203245
35,179.98,90,133163247.7,1491543.164,22.068722000308963,0.8087958377554934,0.0002844318153234637,2.2940103433358404e-06,2.5013181090032997e-08,-12.985209030402464,-12.996172602830283,-12.974364355531089
36,179.99,120,103962564.6,1189282.203,22.068234982566096,0.8287587511288143,0.00022818075573945626,1.5251522713558034e-06,1.717241864373457e-08,-13.393416302820206,-13.40473964873827,-13.382219740786631
37,199.94,30,51703202.5,628329.7143,21.137627089982878,0.8386864775023692,0.00012106492196867625,3.3232945337424993e-06,4.055034522814727e-08,-12.614553937628745,-12.626830842519015,-12.602425928994458
38,199.96,60,79674466.25,928708.1247,21.136733529200395,0.8539859644482976,0.0001787382027710335,2.786984634205247e-06,3.220767725464458e-08,-12.790550322861346,-12.802174078001356,-12.779060128414608
39,199.98,90,86194562.84,1012467.793,21.13584004396255,0.870538653671671,0.00019305553064981898,2.2614857840509e-06,2.588906981351053e-08,-12.999488534119065,-13.011002379297256,-12.988105749986463
40,199.98,120,81369448.95,954118.6454,21.13584004396255,0.8861654627742408,0.00018453421526442375,1.8345154204252423e-06,2.1211473439901822e-08,-13.208730187394503,-13.22035999160246,-13.19723408212952
41,224.93,30,49219475.54,597673.0807,20.0770960488275,0.8956178155245235,0.00011468622156920869,5.013331807968718e-06,6.098188506809902e-08,-12.203409832372294,-12.215648362134097,-12.191319275080366
42,224.96,60,74683881.73,873986.4077,20.0758868523017,0.9099601287046487,0.00016874573106565797,4.159773239908146e-06,4.756328168714492e-08,-12.390049994814271,-12.401549971236273,-12.378680765683754
43,224.98,90,76217528.95,872084.0799,20.07508080220023,0.9245946153113699,0.00016760790160486085,3.328489985231206e-06,3.6669492699790266e-08,-12.612991814703568,-12.624069805028821,-12.602035202846176
44,224.93,120,63068088.54,749146.4167,20.0770960488275,0.9367060680341472,0.00014477326353088036,2.4638722010385778e-06,2.8280935536079363e-08,-12.913776380099728,-12.925321011397394,-12.90236350765318
45,249.92,30,33614442.92,421731.8427,19.117900089854132,0.9431607598940459,8.150069792203874e-05,6.05504579031261e-06,7.549675658642838e-08,-12.014618618591015,-12.027165405265764,-12.002227305097573
46,249.96,60,53430123.72,641592.5536,19.116438225229874,0.9534212899018623,0.00012355124666190332,5.603102252148102e-06,6.480912892439483e-08,-12.092190140012024,-12.103824205178928,-12.080689871213519
47,249.97,90,46528258.76,564228.467,19.1160727940052,0.9623569324956797,0.00010927160133848831,3.996152155404825e-06,4.639239125163907e-08,-12.43017862097474,-12.441855800102532,-12.418636225974797
48,249.98,120,36758261.58,457010.6242,19.115707376751477,0.9694154214128404,8.797510638421875e-05,2.9222849011448512e-06,3.4885496704021046e-08,-12.743144747285827,-12.75515432101212,-12.731277693509405
49,274.91,30,16192810.87,243499.6137,18.24617742582929,0.972525151557703,4.7062974848198365e-05,6.0352748977515e-06,9.038096403314981e-08,-12.017889153871977,-12.032977869239163,-12.003024727791036
50,274.96,60,22114132.72,291899.7716,18.244512962726464,0.9767714953548745,5.63790087189596e-05,4.72557235457185e-06,6.13691352024414e-08,-12.262521871111888,-12.275593537959349,-12.249618870362193
51,274.88,90,20633788.34,281815.2945,18.247176249475395,0.9807345971923043,5.4524149978813814e-05,3.5093155717728687e-06,4.717874892265496e-08,-12.560089533297166,-12.573624580659542,-12.546735239654328
52,274.97,120,16963745.41,247844.1235,18.24418010654601,0.9839920606304186,4.794863904828051e-05,2.606596363045514e-06,3.7669361533926905e-08,-12.857465263137533,-12.872022255377814,-12.843117140049136
53,299.91,30,8523988.61,161460.3311,17.45017973685129,0.9856289037791591,3.113959818613866e-05,6.071687052683292e-06,1.1495031103285556e-07,-12.011874058612307,-12.030987753403142,-11.993118855753842
54,299.95,60,13672822.99,204258.359,17.44896178677369,0.9882545036588437,3.95978084105508e-05,5.678059393030775e-06,8.493062184184859e-08,-12.07890103976553,-12.093971718755155,-12.064054118137895
55,299.97,90,14229932.17,215891.5413,17.448352875488553,0.9909869337365841,4.1861894483564594e-05,4.968567732827545e-06,7.437216640547284e-08,-12.21237894191797,-12.227460633296324,-12.197521332602209
56,299.98,120,11909170.19,183074.3585,17.448048435782457,0.9932736734792196,3.5399114852486446e-05,4.1185478358595026e-06,6.364538692231619e-08,-12.400009923758333,-12.41558392766847,-12.384674754586197
57,324.91,30,5082615.24,113307.6286,16.72073036150219,0.9942497194237192,2.2047456284180504e-05,8.824902644263917e-06,2.0012493487441593e-07,-11.63793298701722,-11.66087136820338,-11.615508997889796
58,324.95,60,7125315.084,124430.319,16.719612104999168,0.9956180967529837,2.388610039677925e-05,7.648181839841018e-06,1.3972715193266195e-07,-11.781042606367981,-11.799480880617095,-11.76293815622192
59,324.97,90,6858616.412,129094.6736,16.71905303283622,0.9969354968379881,2.4825310086009536e-05,6.7074790164668005e-06,1.3458341696052404e-07,-11.912287383020248,-11.932556092042464,-11.892421346424577
60,324.98,120,5375135.378,110903.0285,16.71877351077525,0.9979677132720642,2.1457283034847385e-05,5.7787297328856e-06,1.3457426052608596e-07,-12.061326668829775,-12.084889977868427,-12.038305831418555
61,349.91,30,1979074.656,78563.15376,16.049818637049402,0.9983475989292004,1.5159528104026064e-05,1.1650702383002761e-05,4.807967952734621e-07,-11.360144089383454,-11.40228739722602,-11.319705250042102
62,349.96,60,2614179.699,78251.26457,16.0485307570092,0.998849599996101,1.4992512010847756e-05,1.0189744286533977e-05,3.5809697948604154e-07,-11.494128805594663,-11.529904058287817,-11.459589338314187
63,349.97,90,1974467.084,71716.44779,16.048273205803056,0.9992286288832645,1.3684498452562013e-05,7.5004814305938914e-06,3.300899102080701e-07,-11.800543348736294,-11.845550299489892,-11.757475082449668
64,349.98,120,1587585.236,73871.86323,16.048015662863286,0.9995333590282697,1.4202321791471472e-05,7.075220366635391e-06,4.124515228461541e-07,-11.858911967692421,-11.918975417498169,-11.802252637927241
65,299.97,90,199468.1281,51899.77451,17.448352875488553,0.9995716884511654,9.949080507522756e-06,1.6070189991767557e-06,4.112394354263476e-07,-13.341129648517894,-13.636712230668717,-13.113275579513363
66,299.98,120,193977.6788,51466.48755,17.448048435782457,0.999608834212156,9.95769005889086e-06,1.2802562172066694e-06,3.3578516238661203e-07,-13.568450330371318,-13.872640796509325,-13.335530992009241
67,324.98,120,448829.1315,67831.93132,16.71877351077525,0.9996949977100738,1.295470312012836e-05,3.503221974123852e-06,5.019807592293977e-07,-12.56182744889273,-12.716484616564102,-12.42791635866187
68,349.98,120,643421.8482,56978.93992,16.048015662863286,0.9998185822805722,1.0882726713652324e-05,7.3115436919535105e-06,6.922179590448981e-07,-11.82605613112713,-11.925517046237683,-11.735598920422014
69,374.95,60,436134.0157,54607.86796,15.42971763616726,0.9999023762516399,1.0461594410898493e-05,1.7436835873393878e-05,2.189274372614633e-06,-10.956925585221597,-11.091090969284721,-10.838649722850977
70,374.89,120,508270.4792,55280.05378,15.431146225541633,1.0,1.057095918425199e-05,inf,,inf,,
