,TC,thr,M,delM,Tplot,Fi,Fi uncertainty,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
24,119.99,1.5,0.047929927,0.000479299,25.436231367960524,0.3063145093362948,0.003619343812592185,5.67302664309103e-07,6.2599097773631335e-09,-14.38237287615197,-14.393468723041124,-14.371398797198237
25,119.99,2.0,0.050516135,0.000505161,25.436231367960524,0.3568305195853566,0.0035860340304506577,5.56522108884832e-07,5.971344056106855e-09,-14.40155893856564,-14.412346669179302,-14.390886342151681
26,139.97,0.5,0.03967539,0.000396754,24.206041828040277,0.39650816146539575,0.0037375117323297513,2.09582790980398e-06,2.2442217186411163e-08,-13.075561898977359,-13.086327686526095,-13.064910780206196
27,139.99,1.0,0.063405515,0.000634055,24.204870019847995,0.4599173296156014,0.004529561484714423,2.037659405701071e-06,2.1121065258856103e-08,-13.103708758964759,-13.11412820945286,-13.093396754854957
28,139.99,1.5,0.07018604,0.00070186,24.204870019847995,0.5301070709561624,0.004652556915444583,1.91487227862586e-06,1.931018218370467e-08,-13.16585963279043,-13.175995142599339,-13.15582582163478
29,139.99,2.0,0.068255434,0.000682554,24.204870019847995,0.5983576984881928,0.0037927899384118113,1.784970265608193e-06,1.7419426378076067e-08,-13.236108800793998,-13.245915676234253,-13.226397166893626
30,159.95,0.5,0.04327642,0.000432764,23.089355806972986,0.6416321651127895,0.0036304847997137846,5.524917013711046e-06,5.5263852582596636e-08,-12.106242330816059,-12.11629535101267,-12.096289368782081
31,159.98,1.0,0.061204608,0.000612046,23.087756562694803,0.702838012488993,0.0033558163317424228,4.763884519416157e-06,4.5238126920486e-08,-12.254447147021914,-12.263988580747334,-12.244995892492888
32,159.98,1.5,0.054607475,0.000546075,23.087756562694803,0.7574427534916676,0.0026766541108573794,3.589652912773085e-06,3.373208196753704e-08,-12.537455041816868,-12.546896504113448,-12.528101887622817
33,159.99,2.0,0.036629627,0.000366296,23.087223530498225,0.7940702147641954,0.0021272782432109616,2.224303233737208e-06,2.0896804901956084e-08,-13.016066844765364,-13.025506018356017,-13.00671593666869
34,179.94,0.5,0.014840339,0.000148403,22.070670286256593,0.8089119275903742,0.0019415304852364867,4.109801638940872e-06,4.0858836979851554e-08,-12.402135793652247,-12.412127346069568,-12.392243085560546
35,179.97,1.0,0.018615323,0.000186153,22.06920903954802,0.8275258888918029,0.0018735190414102543,2.8344850628124274e-06,2.7733922481212034e-08,-12.773650272974585,-12.783482921325886,-12.76391336497947
36,179.98,1.5,0.010882119,0.000108821,22.068722000308963,0.8384086964031191,0.0017444001663535769,1.208374888268146e-06,1.2046526418571593e-08,-13.6262341686262,-13.63625339007635,-13.616314336989152
37,179.99,2.0,0.011818949,0.000118189,22.068234982566096,0.8502274672377149,0.0017269225367348984,1.0688648438335862e-06,1.1589151253660722e-08,-13.748913366249887,-13.759815059560237,-13.73812923933558
38,199.93,0.5,0.006975334,6.97533e-05,21.138073898706352,0.857203951446042,0.0016930359436063691,2.6846144573725233e-06,2.7215094099790724e-08,-12.827973431608813,-12.838162596394586,-12.81788703961335
39,199.97,1.0,0.011960676,0.000119607,21.13628677713899,0.8691637535991136,0.0015833820620005379,2.462052860382942e-06,2.4258761462443857e-08,-12.91451505992765,-12.92441698538537,-12.904710222029411
40,199.93,0.5,0.005208362,5.20836e-05,21.138073898706352,0.8743723743261469,0.0016029733793372358,2.2866420758223954e-06,2.3197242687022127e-08,-12.988426158965945,-12.998622642739676,-12.97833259493675
41,199.97,1.0,0.009297939,9.29794e-05,21.13628677713899,0.8836709917441874,0.001512599771373524,2.16418932727061e-06,2.1491172094008493e-08,-13.043464711310436,-13.053444702920826,-13.033583336547707
42,199.98,1.5,0.011792529,0.000117925,21.13584004396255,0.8954644451295968,0.0014090485194746538,2.00554450047728e-06,1.985183808318766e-08,-13.119594962764191,-13.129542756384057,-13.10974515381106
43,199.98,2.0,0.012857251,0.000128573,21.13584004396255,0.9083218103910681,0.0012627621232881303,1.8468805303157982e-06,1.8061720377502468e-08,-13.202012541938402,-13.211840258559429,-13.192280470123624
44,219.94,0.5,0.006936504,6.9365e-05,20.280273378085138,0.9152586074932691,0.0011711584766374017,4.428677988113033e-06,4.4510226232496706e-08,-12.327409440991946,-12.337510742198404,-12.31740915652143
45,219.97,1.0,0.011696467,0.000116965,20.27903958468527,0.9269554897415425,0.001084335618722232,4.180306001376167e-06,4.112615638255936e-08,-12.38512610803619,-12.395012894826461,-12.375336113614166
46,219.98,1.5,0.013521653,0.000135217,20.278628353578164,0.9404771582437029,0.0008866004542101291,3.840934754885499e-06,3.66627270491144e-08,-12.469794795236448,-12.479385904839921,-12.460294801803064
47,219.99,2.0,0.01279567,0.000127957,20.278217139149127,0.9532713527237061,0.0006385879522209925,3.4059439998787267e-06,3.1656664706361364e-08,-12.589988417468241,-12.599326415886111,-12.580736811157426
48,239.93,0.5,0.00558494,5.58494e-05,19.490137990176972,0.9588565194369136,0.0006052167877486636,7.16499369830767e-06,7.085878769542357e-08,-11.84630337619497,-11.85624218422781,-11.836462376763528
49,239.96,1.0,0.008497702,8.4977e-05,19.48899846036912,0.9673541558163024,0.0005258005745722993,6.511358898498403e-06,6.07575207792635e-08,-11.941962383358268,-11.951337194647198,-11.9326746435095
50,239.98,1.5,0.00749791,7.49791e-05,19.48823884785532,0.9748520192446855,0.0003530908678960887,4.896175010795379e-06,4.4740458789803976e-08,-12.22705626772412,-12.236236112831646,-12.217959926203859
51,239.98,2.0,0.004975179,4.97518e-05,19.48823884785532,0.9798273738089753,0.00023021204942791362,3.102217926925944e-06,2.8545094418551953e-08,-12.683393241994189,-12.692637349056117,-12.674233806333566
52,259.93,0.5,0.001479258,1.47926e-05,18.75891048247918,0.9813068008566275,0.00020574280423452107,4.2869537634994274e-06,4.234193201423519e-08,-12.359934155687812,-12.369860183728223,-12.350105686105199
53,259.96,1.0,0.002475891,2.47589e-05,18.75785485171916,0.9837827608888348,0.00019255038613830155,3.998862897662931e-06,3.8101156393772576e-08,-12.429500512842614,-12.439074192290134,-12.420017620255802
54,259.98,1.5,0.000465378,4.65378e-06,18.75715116388123,0.9842481429903766,0.00018751750133211287,5.463170173177004e-07,5.479841418250045e-09,-14.420066411896817,-14.430147572162685,-14.410085867937765
55,259.98,2.0,0.00053802,5.3802e-06,18.75715116388123,0.9847862603048491,0.00017961262680576962,4.89058869601644e-07,4.902053474783298e-09,-14.530782966984138,-14.54085698244442,-14.520809425971457
56,279.92,0.5,0.000254129,2.54129e-06,18.080893919395375,0.9850403884310425,0.00017565819181974973,9.481958166977798e-07,9.57325510039975e-09,-13.868704798323414,-13.878852396375118,-13.858659140436085
57,279.96,1.0,0.000465365,4.65365e-06,18.079586339064566,0.9855057431585654,0.00017857969871826196,8.894361078324046e-07,9.01162562739195e-09,-13.932678161726267,-13.942861679633248,-13.922597303299824
58,279.97,1.5,0.000615167,6.15167e-06,18.079259473531962,0.9861209229076242,0.0001758229032272629,8.137418417667162e-07,8.17494382272443e-09,-14.021622668952578,-14.0317195863267,-14.011626681090853
59,279.98,2.0,0.000709654,7.09654e-06,18.078932619818126,0.9868305812756638,0.0001644254227975428,7.385843445479621e-07,7.322697192621281e-09,-14.118530530869618,-14.128494510519891,-14.108664853433819
60,299.91,0.5,0.000317584,3.17584e-06,17.45017973685129,0.9871481253427286,0.00016306333500221148,1.3740696102058267e-06,1.3936010586895042e-08,-13.49773370299776,-13.507927628027137,-13.487642646325382
61,299.95,1.0,0.000581375,5.81375e-06,17.44896178677369,0.9877295509569584,0.0001611589625556964,1.3028707488717564e-06,1.3115347746461511e-08,-13.550940459774907,-13.56105796910001,-13.540924289996731
62,299.97,1.5,0.000766482,7.66482e-06,17.448352875488553,0.9884960333478965,0.00015459793339128725,1.2102571796237647e-06,1.2071076034163951e-08,-13.624677675796535,-13.634701725102449,-13.614753111635874
63,299.98,2.0,0.000877936,8.77936e-06,17.448048435782457,0.9893739474596902,0.00014695886544435766,1.1171350005799395e-06,1.1007400325004915e-08,-13.704743185216051,-13.7146452905831,-13.694938170919242
